work_id start_pick finish_pick start_buff finish_buff start_pack finish_pack pick_id buff_id pack_id real_time
0 0 96 96 96 96 186 0 1 1 96
1 0 14 14 14 14 27 1 0 0 14
2 14 105 105 105 105 148 1 0 0 91
3 96 151 151 151 151 180 0 1 0 55
4 105 178 178 180 180 218 1 0 0 73
5 151 249 249 249 249 282 0 1 0 98
6 178 205 205 205 205 301 1 1 1 27
7 205 225 225 225 225 249 1 0 0 20
8 225 286 286 301 301 312 1 1 1 61
9 249 276 276 282 282 329 0 0 0 27
10 276 340 340 340 340 423 0 0 1 64
11 286 348 348 348 348 399 1 1 0 62
12 340 419 419 419 419 450 0 0 0 79
13 348 434 434 434 434 458 1 1 1 86
14 419 511 511 511 511 537 0 1 1 92
15 434 505 505 505 505 537 1 0 0 71
16 505 534 534 537 537 555 1 0 1 29
17 511 575 575 575 575 591 0 1 0 64
18 534 579 579 579 579 615 1 0 1 45
19 575 653 653 653 653 746 0 1 0 78
20 579 664 664 664 664 695 1 0 1 85
21 653 667 667 695 695 730 0 1 1 14
22 664 747 747 747 747 778 1 1 0 83
23 667 744 744 744 744 769 0 0 1 77
24 744 831 831 831 831 920 0 0 1 87
25 747 771 771 771 771 786 1 0 1 24
26 771 812 812 812 812 898 1 1 0 41
27 812 906 906 906 906 977 1 1 0 94
28 831 913 913 920 920 930 0 0 1 82
29 906 949 949 949 949 1021 1 1 1 43
